Release 13.1 - par O.40d (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Sun May 06 16:23:52 2018


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       build/fpga/test.map.ncd
OUTPUT FILE:      build/fpga/test.par_pad.txt
PART TYPE:        xc3s50
SPEED GRADE:      -4
PACKAGE:          pq208

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name           |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|IO Register|Signal Integrity|
|P15       |           |DIFFM    |IO_L22P_7          |UNUSED   |           |7             |          |         |           |         |       |          |           |                |
|P16       |           |DIFFS    |IO_L22N_7          |UNUSED   |           |7             |          |         |           |         |       |          |           |                |
|P17       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P18       |           |DIFFM    |IO_L23P_7          |UNUSED   |           |7             |          |         |           |         |       |          |           |                |
|P19       |X<27>      |IOB      |IO_L23N_7          |OUTPUT   |LVCMOS25*  |7             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P20       |X<28>      |IOB      |IO_L24P_7          |OUTPUT   |LVCMOS25*  |7             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P21       |X<29>      |IOB      |IO_L24N_7          |OUTPUT   |LVCMOS25*  |7             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P22       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P23       |           |         |VCCO_7             |         |           |7             |          |         |           |         |2.50   |          |           |                |
|P24       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P25       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P26       |X<30>      |IOB      |IO_L40P_7          |OUTPUT   |LVCMOS25*  |7             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P27       |X<31>      |IOB      |IO_L40N_7/VREF_7   |OUTPUT   |LVCMOS25*  |7             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P28       |X<32>      |IOB      |IO_L40P_6/VREF_6   |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P29       |X<33>      |IOB      |IO_L40N_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P30       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P31       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P32       |           |         |VCCO_6             |         |           |6             |          |         |           |         |2.50   |          |           |                |
|P33       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P34       |X<34>      |IOB      |IO_L24P_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P35       |X<35>      |IOB      |IO_L24N_6/VREF_6   |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P36       |X<36>      |IOB      |IO_L23P_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P37       |X<37>      |IOB      |IO_L23N_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P38       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P39       |X<38>      |IOB      |IO_L22P_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P40       |X<39>      |IOB      |IO_L22N_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P41       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P42       |X<40>      |IOB      |IO_L21P_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P43       |X<41>      |IOB      |IO_L21N_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P44       |X<42>      |IOB      |IO_L20P_6          |INPUT    |LVCMOS25*  |6             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P45       |X<43>      |IOB      |IO_L20N_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P46       |X<44>      |IOB      |IO_L19P_6          |OUTPUT   |LVCMOS25*  |6             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P47       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P48       |X<45>      |IOB      |IO_L19N_6          |INPUT    |LVCMOS25*  |6             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P49       |           |         |VCCO_6             |         |           |6             |          |         |           |         |2.50   |          |           |                |
|P50       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P51       |           |DIFFM    |IO_L01P_6/VRN_6    |UNUSED   |           |6             |          |         |           |         |       |          |           |                |
|P52       |           |DIFFS    |IO_L01N_6/VRP_6    |UNUSED   |           |6             |          |         |           |         |       |          |           |                |
|P53       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P54       |           |         |M1                 |         |           |              |          |         |           |         |       |          |           |                |
|P55       |           |         |M0                 |         |           |              |          |         |           |         |       |          |           |                |
|P56       |           |         |M2                 |         |           |              |          |         |           |         |       |          |           |                |
|P57       |           |DIFFM    |IO_L01P_5/CS_B     |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P58       |           |DIFFS    |IO_L01N_5/RDWR_B   |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P59       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P60       |           |         |VCCO_5             |         |           |5             |          |         |           |         |2.50   |          |           |                |
|P61       |           |DIFFM    |IO_L10P_5/VRN_5    |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P62       |           |DIFFS    |IO_L10N_5/VRP_5    |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P63       |           |IOB      |IO                 |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P64       |           |DIFFM    |IO_L27P_5          |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P65       |           |DIFFS    |IO_L27N_5/VREF_5   |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P66       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P67       |           |DIFFM    |IO_L28P_5/D7       |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P68       |           |DIFFS    |IO_L28N_5/D6       |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P69       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P70       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2    |          |           |                |
|P71       |           |IOB      |IO                 |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P72       |           |DIFFM    |IO_L31P_5/D5       |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P73       |           |         |VCCO_5             |         |           |5             |          |         |           |         |2.50   |          |           |                |
|P74       |           |DIFFS    |IO_L31N_5/D4       |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P75       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P76       |FCLK       |IOB      |IO_L32P_5/GCLK2    |INPUT    |LVCMOS25*  |5             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P77       |           |DIFFS    |IO_L32N_5/GCLK3    |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P78       |           |IOB      |IO/VREF_5          |UNUSED   |           |5             |          |         |           |         |       |          |           |                |
|P79       |ACLK       |IOB      |IO_L32P_4/GCLK0    |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P80       |SMCLK      |IOB      |IO_L32N_4/GCLK1    |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P81       |LEDF       |IOB      |IO_L31P_4/DOUT/BUSY|OUTPUT   |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P82       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P83       |SPI_FPGA_CS|IOB      |IO_L31N_4/INIT_B   |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P84       |           |         |VCCO_4             |         |           |4             |          |         |           |         |2.50   |          |           |                |
|P85       |           |IOB      |IO/VREF_4          |UNUSED   |           |4             |          |         |           |         |       |          |           |                |
|P86       |           |DIFFM    |IO_L30P_4/D3       |UNUSED   |           |4             |          |         |           |         |       |          |           |                |
|P87       |           |DIFFS    |IO_L30N_4/D2       |UNUSED   |           |4             |          |         |           |         |       |          |           |                |
|P88       |           |         |VCCINT             |         |           |              |          |         |           |         |1.2    |          |           |                |
|P89       |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P90       |           |DIFFM    |IO_L27P_4/D1       |UNUSED   |           |4             |          |         |           |         |       |          |           |                |
|P91       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P92       |SPI_DO     |IOB      |IO_L27N_4/DIN/D0   |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P93       |LE         |IOB      |IO                 |OUTPUT   |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P94       |LRW        |IOB      |IO_L25P_4          |OUTPUT   |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P95       |LRS        |IOB      |IO_L25N_4          |OUTPUT   |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P96       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P97       |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P98       |           |         |VCCO_4             |         |           |4             |          |         |           |         |2.50   |          |           |                |
|P99       |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P100      |SPI_DI     |IOB      |IO_L01P_4/VRN_4    |TRISTATE |LVCMOS25*  |4             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P101      |SPI_CS     |IOB      |IO_L01N_4/VRP_4    |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P102      |SPI_CLK    |IOB      |IO/VREF_4          |INPUT    |LVCMOS25*  |4             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P103      |           |         |DONE               |         |           |              |          |         |           |         |       |          |           |                |
|P104      |           |         |CCLK               |         |           |              |          |         |           |         |       |          |           |                |
|P105      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P106      |           |DIFFM    |IO_L01P_3/VRN_3    |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P107      |           |DIFFS    |IO_L01N_3/VRP_3    |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P108      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P109      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P110      |           |         |VCCO_3             |         |           |3             |          |         |           |         |2.50   |          |           |                |
|P111      |           |DIFFM    |IO_L19P_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P112      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P113      |           |DIFFS    |IO_L19N_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P114      |           |DIFFM    |IO_L20P_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P115      |           |DIFFS    |IO_L20N_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P116      |           |DIFFM    |IO_L21P_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P117      |           |DIFFS    |IO_L21N_3          |UNUSED   |           |3             |          |         |           |         |       |          |           |                |
|P118      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P119      |RDQM       |IOB      |IO_L22P_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P120      |RCLK       |IOB      |IO_L22N_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P121      |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P122      |RCKE       |IOB      |IO_L23P_3/VREF_3   |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P123      |RA<12>     |IOB      |IO_L23N_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P124      |RA<11>     |IOB      |IO_L24P_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P125      |RA<9>      |IOB      |IO_L24N_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P126      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P127      |           |         |VCCO_3             |         |           |3             |          |         |           |         |2.50   |          |           |                |
|P128      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P129      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P130      |RA<8>      |IOB      |IO_L40P_3          |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P131      |RA<7>      |IOB      |IO_L40N_3/VREF_3   |OUTPUT   |LVCMOS25*  |3             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P132      |RA<6>      |IOB      |IO_L40P_2/VREF_2   |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P133      |RA<5>      |IOB      |IO_L40N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P134      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P135      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P136      |           |         |VCCO_2             |         |           |2             |          |         |           |         |2.50   |          |           |                |
|P137      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P138      |RA<4>      |IOB      |IO_L24P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P139      |RWE        |IOB      |IO_L24N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P140      |RCAS       |IOB      |IO_L23P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P141      |RRAS       |IOB      |IO_L23N_2/VREF_2   |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P142      |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P143      |RCS        |IOB      |IO_L22P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P144      |RA<13>     |IOB      |IO_L22N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P145      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P146      |RA<14>     |IOB      |IO_L21P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P147      |RA<10>     |IOB      |IO_L21N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P148      |RA<0>      |IOB      |IO_L20P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P149      |RA<1>      |IOB      |IO_L20N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P150      |RA<2>      |IOB      |IO_L19P_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P151      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P152      |RA<3>      |IOB      |IO_L19N_2          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P153      |           |         |VCCO_2             |         |           |2             |          |         |           |         |2.50   |          |           |                |
|P154      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P155      |P3M<0>     |IOB      |IO_L01P_2/VRN_2    |BIDIR    |LVCMOS25*  |2             |12        |SLOW     |PULLUP     |NONE     |       |LOCATED   |NO         |NONE            |
|P156      |           |DIFFS    |IO_L01N_2/VRP_2    |UNUSED   |           |2             |          |         |           |         |       |          |           |                |
|P157      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P158      |           |         |TDO                |         |           |              |          |         |           |         |       |          |           |                |
|P159      |           |         |TCK                |         |           |              |          |         |           |         |       |          |           |                |
|P160      |           |         |TMS                |         |           |              |          |         |           |         |       |          |           |                |
|P161      |           |DIFFM    |IO_L01P_1/VRN_1    |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P162      |           |DIFFS    |IO_L01N_1/VRP_1    |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P163      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P164      |           |         |VCCO_1             |         |           |1             |          |         |           |         |2.50   |          |           |                |
|P165      |           |DIFFM    |IO_L10P_1          |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P166      |           |DIFFS    |IO_L10N_1/VREF_1   |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P167      |           |IOB      |IO                 |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P168      |           |DIFFM    |IO_L27P_1          |UNUSED   |           |1             |          |         |           |         |       |          |           |                |
|P169      |X<0>       |IOB      |IO_L27N_1          |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P170      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P171      |KIN<0>     |IOB      |IO_L28P_1          |TRISTATE |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P172      |X<1>       |IOB      |IO_L28N_1          |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P173      |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P174      |           |         |VCCINT             |         |           |              |          |         |           |         |1.2    |          |           |                |
|P175      |KIN<1>     |IOB      |IO                 |TRISTATE |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P176      |X<2>       |IOB      |IO_L31P_1          |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P177      |           |         |VCCO_1             |         |           |1             |          |         |           |         |2.50   |          |           |                |
|P178      |KIN<2>     |IOB      |IO_L31N_1/VREF_1   |TRISTATE |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P179      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P180      |X<3>       |IOB      |IO_L32P_1/GCLK4    |OUTPUT   |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P181      |KIN<3>     |IOB      |IO_L32N_1/GCLK5    |TRISTATE |LVCMOS25*  |1             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P182      |X<4>       |IOB      |IO                 |INPUT    |LVCMOS25*  |1             |          |         |           |NONE     |       |LOCATED   |NO         |NONE            |
|P183      |KOUT<0>    |IOB      |IO_L32P_0/GCLK6    |INPUT    |LVCMOS25*  |0             |          |         |PULLUP     |NONE     |       |LOCATED   |NO         |NONE            |
|P184      |X<5>       |IOB      |IO_L32N_0/GCLK7    |OUTPUT   |LVCMOS25*  |0             |12        |SLOW     |NONE**     |         |       |LOCATED   |NO         |NONE            |
|P185      |KOUT<1>    |IOB      |IO_L31P_0/VREF_0   |INPUT    |LVCMOS25*  |0             |          |         |PULLUP     |NONE     |       |LOCATED   |NO         |NONE            |
|P186      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P187      |           |DIFFS    |IO_L31N_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P188      |           |         |VCCO_0             |         |           |0             |          |         |           |         |2.50   |          |           |                |
|P189      |KOUT<2>    |IOB      |IO                 |INPUT    |LVCMOS25*  |0             |          |         |PULLUP     |NONE     |       |LOCATED   |NO         |NONE            |
|P190      |           |DIFFM    |IO_L30P_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P191      |KOUT<3>    |IOB      |IO_L30N_0          |INPUT    |LVCMOS25*  |0             |          |         |PULLUP     |NONE     |       |LOCATED   |NO         |NONE            |
|P192      |           |         |VCCINT             |         |           |              |          |         |           |         |1.2    |          |           |                |
|P193      |           |         |VCCAUX             |         |           |              |          |         |           |         |2.5    |          |           |                |
|P194      |           |DIFFM    |IO_L27P_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P195      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P196      |           |DIFFS    |IO_L27N_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P197      |           |IOB      |IO                 |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P198      |           |DIFFM    |IO_L25P_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P199      |           |DIFFS    |IO_L25N_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P200      |           |         |NC                 |         |           |              |          |         |           |         |       |          |           |                |
|P201      |           |         |VCCO_0             |         |           |0             |          |         |           |         |2.50   |          |           |                |
|P202      |           |         |GND                |         |           |              |          |         |           |         |       |          |           |                |
|P203      |           |DIFFM    |IO_L01P_0/VRN_0    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P204      |           |DIFFS    |IO_L01N_0/VRP_0    |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P205      |           |IOB      |IO/VREF_0          |UNUSED   |           |0             |          |         |           |         |       |          |           |                |
|P206      |           |         |HSWAP_EN           |         |           |              |          |         |           |         |       |          |           |                |
|P207      |           |         |PROG_B             |         |           |              |          |         |           |         |       |          |           |                |
|P208      |           |         |TDI                |         |           |              |          |         |           |         |       |          |           |                |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


